"title","url","img_url","author","rate","votes_num","comments_num"
"受戒","https://book.douban.com/subject/1760432/","https://img2.doubanio.com/view/subject/s/public/s3628082.jpg","汪曾祺","9.3","22467","5523"
"古文观止","https://book.douban.com/subject/1014561/","https://img2.doubanio.com/view/subject/s/public/s1325863.jpg","吴楚材；吴调侯","9.1","17729","2132"
"叫魂","https://book.douban.com/subject/10471333/","https://img2.doubanio.com/view/subject/s/public/s9015481.jpg","[美]孔飞力；陈兼；刘昶","9.1","26196","8815"
"台北人","https://book.douban.com/subject/5337248/","https://img9.doubanio.com/view/subject/s/public/s4526465.jpg","白先勇","9","61286","20383"
"史蒂夫·乔布斯传","https://book.douban.com/subject/6798611/","https://img2.doubanio.com/view/subject/s/public/s6974202.jpg","[美]沃尔特·艾萨克森；管延圻；魏群；余倩；赵萌萌；汤崧","8.7","57479","15365"
"史记（全十册）","https://book.douban.com/subject/1077847/","https://img9.doubanio.com/view/subject/s/public/s1953384.jpg","司马迁；张守节；（索隐）司马贞，（正义）张守节","9.5","22536","2956"
"呐喊","https://book.douban.com/subject/1449351/","https://img9.doubanio.com/view/subject/s/public/s34099286.jpg","鲁迅","9.2","140780","18241"
"呼兰河传","https://book.douban.com/subject/1060852/","https://img3.doubanio.com/view/subject/s/public/s1167060.jpg","萧红","8.9","76898","17860"
"哈利·波特","https://book.douban.com/subject/24531956/","https://img9.doubanio.com/view/subject/s/public/s29101586.jpg","J.K.罗琳(J.K.Rowling)；苏农；马爱农；马爱新","9.7","80246","13834"
"哈姆莱特","https://book.douban.com/subject/1006197/","https://img1.doubanio.com/view/subject/s/public/s27009357.jpg","[英]莎士比亚；朱生豪","8.7","45906","4558"
"哭泣的骆驼","https://book.douban.com/subject/1029111/","https://img9.doubanio.com/view/subject/s/public/s1020454.jpg","三毛","9","54308","6673"
"唐诗三百首","https://book.douban.com/subject/1013267/","https://img1.doubanio.com/view/subject/s/public/s1008848.jpg","蘅塘退士；陈婉俊","9.4","23419","2953"
"四世同堂","https://book.douban.com/subject/3183775/","https://img1.doubanio.com/view/subject/s/public/s3228699.jpg","老舍","9.4","32289","7970"
"围城","https://book.douban.com/subject/1008145/","https://img2.doubanio.com/view/subject/s/public/s1070222.jpg","钱锺书","9","428360","69894"
"國史大綱（上下）","https://book.douban.com/subject/1046492/","https://img9.doubanio.com/view/subject/s/public/s6795555.jpg","錢穆","9.4","14952","2692"
"地下室手记","https://book.douban.com/subject/34990839/","https://img2.doubanio.com/view/subject/s/public/s33638812.jpg","[俄]陀思妥耶夫斯基；曾思艺","9.3","12359","5423"
"城南旧事","https://book.douban.com/subject/1254588/","https://img1.doubanio.com/view/subject/s/public/s2654869.jpg","林海音文；关维兴图","9.1","139827","23461"
"基督山伯爵","https://book.douban.com/subject/1085860/","https://img9.doubanio.com/view/subject/s/public/s3248016.jpg","[法国]大仲马；周克希；韩沪麟","9.1","121804","21066"
"夏洛的网","https://book.douban.com/subject/1036274/","https://img1.doubanio.com/view/subject/s/public/s1120437.jpg","[美国]E·B·怀特；任溶溶","8.6","65914","9685"
